pmethod	homeown	fruitveg	freshmeat	dairy	cannedveg	cannedmeat	frozenmeal	beer	wine	softdrink	fish	confectionery
CHEQUE	NO	F	T	T	F	F	F	F	F	F	F	T
CASH	NO	F	T	F	F	F	F	F	F	F	F	T
CASH	NO	F	F	F	T	F	T	T	F	F	T	F
CARD	NO	F	F	T	F	F	F	F	T	F	F	F
CARD	YES	F	F	F	F	F	F	F	F	F	F	F
CARD	NO	F	T	F	F	F	F	F	T	F	T	F
CASH	YES	T	F	F	F	F	F	F	F	T	F	F
CASH	YES	F	F	F	F	F	F	T	F	F	F	F
CHEQUE	NO	T	F	F	F	F	T	F	F	F	F	F
CASH	NO	T	F	F	F	F	F	F	F	F	T	F
CASH	NO	T	T	T	T	F	F	F	T	F	T	F
CASH	YES	T	F	F	F	F	F	F	F	F	T	F
CARD	YES	F	F	T	F	T	T	F	F	F	T	F
CHEQUE	YES	F	F	F	F	F	F	F	F	T	T	F
CASH	NO	T	F	T	F	F	F	F	F	T	T	F
CHEQUE	YES	F	F	F	F	F	T	T	F	T	F	F
CARD	YES	T	F	F	T	F	F	F	F	F	T	F
CASH	YES	F	F	F	F	F	F	F	F	F	T	F
CASH	YES	F	F	F	F	F	F	T	F	F	T	F
CARD	YES	T	F	F	T	F	F	F	T	F	T	T
CASH	YES	F	F	F	F	F	T	F	F	F	T	F
CASH	YES	F	F	F	F	F	F	F	T	F	F	T
CHEQUE	YES	F	F	F	F	F	F	F	F	F	T	F
CASH	YES	T	T	T	T	T	T	T	T	F	F	F
CASH	YES	F	F	F	F	F	F	T	F	F	F	T
CARD	YES	T	F	T	F	F	T	T	F	F	F	F
CHEQUE	NO	F	T	F	F	F	F	F	T	F	F	T
CARD	YES	F	F	F	F	F	F	F	F	F	F	F
CASH	YES	F	T	F	F	F	F	F	T	F	T	T
CHEQUE	NO	F	F	F	F	T	F	F	F	F	F	F
CASH	NO	F	F	F	F	F	T	T	T	F	T	F
CASH	YES	F	F	F	F	F	T	F	T	F	F	F
CARD	YES	F	F	F	T	T	F	T	T	F	F	F
CASH	NO	T	F	F	F	F	F	F	F	F	F	F
CARD	YES	F	T	F	F	F	F	F	F	T	F	F
CHEQUE	YES	F	F	F	F	F	F	F	F	F	F	F
CARD	YES	T	F	F	F	F	F	F	F	F	F	F
CARD	NO	F	T	F	F	F	F	F	F	F	F	F
CHEQUE	YES	F	F	F	F	F	F	F	F	F	T	T
CHEQUE	YES	F	F	F	F	F	F	F	T	F	F	T
CARD	NO	F	T	F	F	F	F	T	F	F	F	F
CASH	YES	F	F	F	F	F	F	F	F	T	F	F
CARD	NO	F	F	F	T	T	T	T	T	F	T	F
CARD	NO	T	F	F	F	T	F	F	F	F	F	F
CASH	YES	T	T	F	F	F	F	F	F	F	F	F
CHEQUE	YES	F	F	F	F	F	F	F	T	F	F	F
CASH	NO	F	F	F	F	F	F	F	F	F	T	F
CARD	YES	F	F	F	F	F	T	F	T	F	F	T
CASH	NO	F	F	F	F	F	F	F	T	T	F	T
CHEQUE	YES	F	F	F	F	F	T	F	F	F	F	F
CARD	NO	F	F	F	F	F	T	F	F	F	F	F
CASH	NO	T	F	F	F	F	F	T	T	F	T	F
CARD	NO	F	T	F	F	F	F	F	T	T	F	F
CASH	NO	F	F	F	T	F	T	T	F	T	F	F
CASH	NO	F	F	T	F	F	F	T	F	F	F	F
CARD	YES	F	F	F	F	F	F	F	T	F	F	F
CARD	YES	T	F	F	F	F	F	F	F	F	F	F
CHEQUE	YES	T	F	F	T	F	F	T	T	F	F	F
CARD	YES	F	F	F	F	F	F	F	T	F	T	T
CARD	NO	F	F	F	F	F	F	F	F	F	F	T
CARD	NO	F	F	F	F	F	F	F	F	T	F	F
CASH	YES	F	F	F	T	T	F	F	F	T	F	T
CARD	NO	F	F	T	F	T	F	F	F	F	T	F
CASH	NO	F	F	F	F	F	F	F	T	F	F	T
CASH	NO	T	F	T	F	F	F	F	F	F	F	T
CASH	NO	F	F	T	T	T	T	T	F	T	F	F
CARD	YES	F	F	F	F	T	F	F	F	T	T	F
CHEQUE	YES	F	F	F	F	F	F	T	F	F	F	F
CASH	YES	T	F	T	F	F	F	F	F	F	F	F
CARD	YES	T	F	T	T	F	F	F	F	F	F	F
CASH	YES	T	T	T	F	F	F	F	T	F	F	T
CASH	NO	F	F	F	F	T	F	F	F	F	F	F
CARD	YES	F	F	F	F	F	T	F	F	F	F	F
CARD	NO	T	F	F	F	F	F	T	T	F	F	T
CARD	YES	F	F	F	F	F	T	F	F	F	T	F
CASH	NO	F	F	F	F	F	T	F	T	F	F	T
CHEQUE	NO	F	F	F	F	F	T	F	F	F	F	F
CHEQUE	NO	T	F	F	T	F	F	T	F	F	T	F
CASH	NO	F	F	F	F	F	T	F	F	F	T	F
CHEQUE	YES	F	F	F	T	F	T	T	F	F	F	F
CHEQUE	NO	F	F	F	F	F	F	F	F	F	F	F
CHEQUE	YES	T	F	F	F	F	F	F	F	F	F	F
CASH	NO	T	F	F	F	F	F	F	F	F	T	F
CHEQUE	NO	F	F	F	F	T	F	F	F	F	T	F
CARD	NO	F	F	F	F	F	F	T	F	F	F	F
CHEQUE	NO	F	T	F	F	F	T	F	F	F	T	F
CHEQUE	YES	F	F	F	F	F	F	F	F	F	F	F
CHEQUE	YES	F	F	F	F	F	T	F	F	T	F	F
CARD	YES	F	F	F	F	F	F	F	F	F	F	F
CARD	YES	F	F	F	F	F	F	F	T	T	F	T
CHEQUE	NO	F	F	F	T	F	T	T	T	F	T	F
CASH	YES	F	F	F	F	F	F	F	F	F	F	F
CASH	NO	T	F	F	F	F	F	F	T	T	T	F
CARD	YES	F	T	F	F	F	F	T	F	F	F	F
CARD	YES	T	T	F	F	F	F	F	F	F	F	F
CASH	YES	F	F	T	T	F	T	T	F	T	F	F
CASH	YES	F	F	T	F	F	F	F	F	T	F	T
CHEQUE	YES	F	F	F	T	F	T	T	F	F	F	F
CASH	NO	F	T	F	F	F	T	F	F	T	F	F
CHEQUE	NO	F	F	F	T	F	F	F	T	F	F	F
CASH	YES	T	F	F	F	T	F	T	F	F	F	T
CASH	NO	T	F	T	T	F	F	F	F	F	T	F
CHEQUE	NO	F	F	T	F	F	F	F	F	F	F	F
CARD	YES	F	F	T	F	T	F	F	F	F	F	F
CHEQUE	YES	F	F	F	F	F	T	F	F	F	T	F
CHEQUE	YES	F	F	F	F	F	F	F	F	F	F	F
CARD	YES	T	T	F	F	F	F	F	F	F	F	T
CASH	NO	F	F	T	T	F	T	T	F	F	F	F
CHEQUE	NO	F	F	F	T	T	T	T	T	F	T	F
CARD	NO	F	F	F	F	T	F	F	F	T	F	F
CHEQUE	YES	F	F	F	F	T	T	F	F	F	F	F
CASH	YES	F	F	F	T	F	T	T	F	T	T	F
CASH	NO	T	F	F	T	T	T	T	T	F	T	F
CARD	NO	F	F	F	T	T	F	F	F	F	T	T
CARD	YES	F	T	F	F	F	F	T	T	T	F	F
CASH	YES	F	T	F	F	F	F	F	F	T	T	F
CARD	YES	F	F	F	F	F	F	F	F	F	F	F
CARD	YES	T	F	F	F	F	F	F	F	F	F	F
CASH	YES	F	F	T	F	F	F	T	F	F	F	T
CARD	YES	F	F	T	F	F	F	F	T	F	F	F
CHEQUE	NO	T	F	T	F	F	T	F	F	F	T	F
CARD	NO	T	F	F	F	F	F	T	F	F	T	F
CASH	NO	F	F	F	F	F	T	F	T	F	F	T
CARD	YES	F	F	F	T	T	F	F	F	F	F	F
CARD	YES	F	F	F	T	F	T	T	T	F	F	F
CASH	YES	F	F	T	F	F	T	T	F	F	F	T
CARD	NO	T	T	F	T	F	F	F	F	F	T	F
CARD	NO	F	F	F	F	T	F	F	T	F	F	T
CASH	NO	T	F	T	F	F	F	F	F	F	T	F
CHEQUE	NO	F	T	F	F	F	F	F	F	F	F	F
CASH	NO	T	F	F	F	F	F	T	F	T	T	F
CARD	NO	F	F	F	F	F	T	F	F	T	F	F
CARD	NO	F	F	T	T	F	F	F	F	F	F	F
CARD	NO	F	F	F	T	F	F	F	F	F	F	F
CASH	YES	F	F	F	F	F	F	T	F	F	F	F
CHEQUE	NO	F	F	F	T	F	T	F	T	T	F	F
CHEQUE	YES	F	F	F	T	F	F	T	F	T	T	F
CASH	NO	T	F	F	F	F	T	T	F	T	T	F
CARD	NO	F	T	F	T	T	T	T	F	T	F	T
CARD	YES	T	F	F	F	F	F	F	F	F	F	F
CARD	YES	F	F	F	T	T	F	F	T	F	T	T
CHEQUE	YES	F	F	F	F	F	F	F	T	T	F	F
CASH	YES	F	F	F	T	F	T	T	F	F	F	F
CARD	YES	T	F	F	F	F	F	F	F	F	F	F
CASH	NO	F	F	F	T	F	F	F	F	F	F	F
CARD	NO	F	F	F	F	F	F	F	F	F	F	F
CASH	YES	F	T	F	T	T	T	T	T	F	F	T
CASH	YES	F	F	F	F	T	T	T	F	F	F	F
CASH	NO	T	F	F	T	F	T	T	T	F	F	F
CHEQUE	NO	F	F	F	T	F	T	T	F	F	T	F
CASH	NO	F	F	F	F	T	F	F	F	F	F	F
CARD	YES	F	F	F	T	F	F	F	F	F	T	F
CARD	YES	F	T	F	F	T	F	F	F	F	F	F
CARD	YES	F	F	F	T	T	T	T	F	F	F	T
CARD	NO	F	T	T	F	F	F	F	T	F	F	T
CARD	YES	T	T	F	F	F	F	F	F	T	F	F
CASH	YES	F	F	F	T	F	F	F	F	F	F	F
CASH	NO	F	F	F	T	T	T	T	F	F	F	F
CHEQUE	YES	F	F	F	F	T	F	F	F	F	T	F
CARD	YES	F	F	F	T	F	T	F	F	F	F	F
CASH	NO	T	T	F	T	F	T	T	F	F	T	F
CASH	YES	F	F	T	F	F	F	T	T	F	F	T
CARD	YES	F	F	F	T	T	T	T	T	F	F	F
CASH	YES	F	F	F	F	F	F	F	F	F	F	F
CASH	NO	F	F	F	F	F	F	F	T	F	F	F
CARD	YES	T	F	F	F	F	F	F	T	F	F	T
CARD	YES	F	F	F	F	F	T	F	F	F	F	F
